features,auc,return
"('eps_surprise_pct', 'sentiment_label_encoded', 'positive_count', 'negative_count', 'pos_neg_ratio', 'pos_total_ratio')",0.7037037037037037,3.676492629930018
"('eps_surprise_pct', 'raw_sentiment_score', 'positive_count', 'neutral_count', 'negative_count')",0.7112794612794613,3.676492629930018
"('eps_surprise_pct', 'sentiment_label_encoded', 'raw_sentiment_score', 'positive_count', 'neutral_count', 'negative_count')",0.7112794612794613,3.676492629930018
"('eps_surprise_pct', 'positive_count', 'negative_count', 'pos_neg_ratio', 'pos_total_ratio')",0.7037037037037037,3.676492629930018
"('eps_surprise_pct', 'sentiment_label_encoded', 'raw_sentiment_score', 'negative_count', 'pos_neg_ratio')",0.7167508417508417,3.5829237061244754
"('eps_surprise_pct', 'rsi_5d', 'sentiment_label_encoded', 'negative_count', 'pos_neg_ratio')",0.7369528619528619,3.576069065369741
"('eps_surprise_pct', 'prior_return_5d', 'sentiment_label_encoded', 'positive_count', 'negative_count')",0.6936026936026936,3.360165844948651
"('eps_surprise_pct', 'positive_count', 'neutral_count', 'negative_count', 'pos_neg_ratio')",0.7222222222222222,3.265676388218923
"('eps_surprise_pct', 'sentiment_label_encoded', 'raw_sentiment_score', 'neutral_count', 'negative_count', 'pos_total_ratio')",0.7255892255892256,3.265676388218923
"('eps_surprise_pct', 'sentiment_label_encoded', 'raw_sentiment_score', 'neutral_count', 'negative_count', 'pos_neg_ratio')",0.7104377104377105,3.265676388218923
"('eps_surprise_pct', 'sentiment_label_encoded', 'raw_sentiment_score', 'positive_count', 'negative_count', 'pos_total_ratio')",0.7192760942760943,3.265676388218923
"('eps_surprise_pct', 'raw_sentiment_score', 'positive_count', 'negative_count', 'pos_total_ratio')",0.7192760942760943,3.265676388218923
"('eps_surprise_pct', 'sentiment_label_encoded', 'positive_count', 'neutral_count', 'negative_count', 'pos_neg_ratio')",0.7222222222222222,3.265676388218923
"('eps_surprise_pct', 'raw_sentiment_score', 'neutral_count', 'negative_count', 'pos_neg_ratio')",0.7104377104377105,3.265676388218923
"('eps_surprise_pct', 'raw_sentiment_score', 'neutral_count', 'negative_count', 'pos_total_ratio')",0.7255892255892256,3.265676388218923
"('eps_surprise_pct', 'macd_diff', 'sentiment_label_encoded', 'neutral_count', 'pos_neg_ratio')",0.6586700336700336,3.2602204708662494
